0,721,712
1,535,883
2,1177,678
3,1248,526
4,217,800
5,1379,622
6,1415,289
7,666,949,s
8,868,748
9,1034,618
10,566,815
11,1263,405
12,642,865
13,1624,770
14,326,806
15,545,797
16,1198,736
17,1188,681
18,1352,658
19,676,832
20,997,516
21,1151,199
22,1700,822
23,1014,595
24,27,905
25,1798,803
26,1443,497
27,487,883
28,223,918
29,1897,811
30,831,867
31,751,835
32,697,836
33,1475,929
34,394,776
35,1375,636
36,525,901
37,871,837
38,2084,936
39,1053,603
40,1150,724
41,1608,711
42,1753,880
43,1089,688
44,119,911
45,1991,891
46,1564,670
47,350,941
48,1150,631
49,58,875
50,1447,377
51,544,840
52,1344,810
53,1029,774
54,900,937
55,568,818
56,1368,247
57,493,934
58,1038,605
59,1124,499
60,539,834
61,1157,324
62,578,764
63,1469,386
64,843,788
65,829,806
66,664,929
67,1015,840
68,1379,740
69,1694,741
70,994,522
71,1801,910
72,1468,520
73,1122,686
74,1059,393
75,1514,540
76,1165,661
77,1371,762
78,1431,348
79,630,770
80,828,742
81,998,920
82,1442,801
83,1767,807
84,1572,766
85,1788,835
86,1190,875
87,609,889
88,1375,481
89,522,795
90,1005,802
91,1021,534
92,1163,938
93,1274,302
94,572,903
95,1046,788
96,775,710
97,753,722
98,1201,861
99,1380,370
100,1365,887
101,1409,605
102,42,841
103,1173,430
104,926,786
105,1185,155
106,1336,228
107,1822,860
108,993,820
109,732,877
110,665,840
111,884,876
112,1613,727
113,1419,297
114,1204,892
115,366,829
116,1429,347
117,1777,913
118,980,757
119,704,749
120,1877,926
121,1037,741
122,1267,448
123,548,855
124,1199,815
125,1581,645
126,781,865
127,1635,610
128,709,801
129,613,898
130,1343,295
131,1383,506
132,1175,165
133,424,863
134,525,865
135,1272,722
136,889,904
137,1555,814
138,157,929
139,920,783
140,1491,693
141,1500,498
142,650,806
143,909,697
144,755,919
145,1561,506
146,694,748
147,1511,801
148,1158,291
149,1352,323
